"ean","gtin","fonteinfo","marca","produto","quantidade","unidade","quantidadeconvert","unidadeconvert","valor energetico","proteina","lipideos","colesterol","carboidrato","fibra alimentar","calcio","magnesio","manganes","fosforo","ferro","sodio","potassio","cobre","zinco","vitamina c"
,,"TACO",,"Catalonha, refogada","100","g",,,63,"2,0","4,8","NA","4,8","3,7",63,16,"0,64",35,"1,2",25,452,"0,18","0,4","Tr"
,,"TACO",,"Cebola, crua","100","g",,,39,"1,7","0,1","NA","8,9","2,2",14,12,"0,13",38,"0,2",1,176,"0,05","0,2","4,7"
,,"TACO",,"Cebolinha, crua","100","g",,,20,"1,9","0,4","NA","3,4","3,6",80,25,"0,13",27,"0,6",2,206,"0,04","0,3","31,8"
,,"TACO",,"Cenoura, cozida","100","g",,,30,"0,8","0,2","NA","6,7","2,6",26,14,"0,05",27,"0,1",8,176,"0,02","0,2","Tr"
,,"TACO",,"Cenoura, crua","100","g",,,34,"1,3","0,2","NA","7,7","3,2",23,11,"0,05",28,"0,2",3,315,"0,05","0,2","5,1"
,,"TACO",,"Chicória, crua","100","g",,,14,"1,1","0,1","NA","2,9","2,2",45,14,"0,13",13,"0,5",14,425,"0,04","0,1","6,5"
,,"TACO",,"Chuchu, cozido","100","g",,,19,"0,4","Tr","NA","4,8","1,0",8,7,"0,07",13,"0,1",2,54,"Tr","0,1","5,6"
,,"TACO",,"Chuchu, cru","100","g",,,17,"0,7","0,1","NA","4,1","1,3",12,7,"0,08",18,"0,2","Tr",126,"0,03","0,1","10,6"
,,"TACO",,"Coentro, folhas desidratadas","100","g",,,309,"20,9","10,4","NA","48,0","37,3",784,393,"10,48",388,"81,4",18,3223,"4,09","4,7","40,8"
,,"TACO",,"Couve, manteiga, crua","100","g",,,27,"2,9","0,5","NA","4,3","3,1",131,35,"1,02",49,"0,5",6,403,"0,06","0,4","96,7"
,,"TACO",,"Couve, manteiga, refogada ","100","g",,,90,"1,7","6,6","NA","8,7","5,7",177,26,"0,12",33,"0,5",11,315,"0,02","0,2","76,9"
,,"TACO",,"Couve-flor, crua","100","g",,,23,"1,9","0,2","NA","4,5","2,4",18,12,"0,16",57,"0,5",3,256,"0,03","0,3","36,1"
,,"TACO",,"Couve-flor, cozida","100","g",,,19,"1,2","0,3","NA","3,9","2,1",16,5,"0,10",25,"0,1",2,80,"Tr","0,3","23,7"
,,"TACO",,"Espinafre, Nova Zelândia, cru","100","g",,,16,"2,0","0,2","NA","2,6","2,1",98,82,"0,71",25,"0,4",17,336,"0,06","0,3","2,4"
,,"TACO",,"Espinafre, Nova Zelândia, refogado","100","g",,,67,"2,7","5,4","NA","4,2","2,5",112,123,"0,61",34,"0,6",47,149,"0,04","0,6","5,3"
,,"TACO",,"Farinha, de mandioca, crua","100","g",,,361,"1,6","0,3","NA","87,9","6,4",65,37,"Tr",42,"1,1",1,340,"0,08","0,4","Tr"
,,"TACO",,"Farinha, de mandioca, torrada","100","g",,,365,"1,2","0,3","NA","89,2","6,5",76,40,"0,37",39,"1,2",10,328,"Tr","0,4","Tr"
,,"TACO",,"Farinha, de puba","100","g",,,360,"1,6","0,5","NA","87,3","4,2",41,27,"0,16",33,"1,4",4,338,"0,07","0,3","Tr"
,,"TACO",,"Fécula, de mandioca","100","g",,,331,"0,5","0,3","NA","81,1","0,6",12,3,"Tr",60,"0,1",2,48,"Tr","Tr","Tr"
,,"TACO",,"Feijão, broto, cru","100","g",,,39,"4,2","0,1","NA","7,8","2,0",14,25,"0,19",75,"0,8",2,189,"0,17","0,6","12,0"
,,"TACO",,"Inhame, cru","100","g",,,97,"2,1","0,2","NA","23,2","1,7",12,29,"0,15",65,"0,4","Tr",568,"0,17","0,3","5,6"
,,"TACO",,"Jiló, cru","100","g",,,27,"1,4","0,2","NA","6,2","4,8",20,21,"0,14",29,"0,3","Tr",213,"0,07","0,1","6,8"
,,"TACO",,"Jurubeba, crua","100","g",,,126,"4,4","3,9","NA","23,1","23,9",151,65,"0,52",155,"0,9",1,619,"1,16","0,6","13,8"
,,"TACO",,"Mandioca, cozida","100","g",,,125,"0,6","0,3","NA","30,1","1,6",19,27,"0,06",22,"0,1",1,100,"0,01","0,2","11,1"
,,"TACO",,"Mandioca, crua","100","g",,,151,"1,1","0,3","NA","36,2","1,9",15,44,"0,05",29,"0,3",2,208,"0,07","0,2","16,5"
,,"TACO",,"Mandioca, farofa, temperada","100","g",,,406,"2,1","9,1","NA","80,3","7,8",66,34,"0,29",45,"1,4",575,201,"Tr","0,2","Tr"
,,"TACO",,"Mandioca, frita","100","g",,,300,"1,4","11,2","NA","50,3","1,9",23,95,"0,18",57,"0,3",9,176,"0,12","0,4","Tr"
,,"TACO",,"Manjericão, cru","100","g",,,21,"2,0","0,4","NA","3,6","3,3",211,58,"0,17",40,"1,0",4,252,"0,16","0,5","2,3"
,,"TACO",,"Maxixe, cru","100","g",,,14,"1,4","0,1","NA","2,7","2,2",21,10,"0,07",25,"0,4",11,328,"0,02","0,2","9,6"
,,"TACO",,"Mostarda, folha, crua","100","g",,,18,"2,1","0,2","NA","3,2","1,9",68,16,"0,14",58,"1,1",3,364,"0,05","0,3","38,6"
,,"TACO",,"Nhoque, batata, cozido","100","g",,,181,"5,9","1,9",15,"36,8","1,8",11,18,"0,30",68,"1,6",7,164,"0,10","0,5","Tr"
,,"TACO",,"Nabo, cru","100","g",,,18,"1,2","0,1","NA","4,1","2,6",42,15,"4,42",17,"0,2",2,280,"0,02","0,2","9,6"
,,"TACO",,"Palmito, juçara, em conserva","100","g",,,23,"1,8","0,4","NA","4,3","3,2",58,34,"10,82",40,"0,3",514,244,"0,23","0,7","2,0"
,,"TACO",,"Palmito, pupunha, em conserva","100","g",,,29,"2,5","0,5","NA","5,5","2,6",32,25,"0,14",55,"0,2",563,206,"0,08","0,4","8,7"
,,"TACO",,"Pão, de queijo, assado","100","g",,,363,"5,1","24,6",68,"34,2","0,6",102,8,"0,03",94,"0,3",773,93,"0,01","0,6"," "
,,"TACO",,"Pão, de queijo, cru","100","g",,,295,"3,6","14,0",63,"38,5","1,0",88,7,"Tr",79,"0,3",405,58,"Tr","0,4"," "
,,"TACO",,"Pepino, cru","100","g",,,10,"0,9","Tr","NA","2,0","1,1",10,9,"0,08",12,"0,1","Tr",154,"0,04","0,1","5,0"
,,"TACO",,"Pimentão, amarelo, cru","100","g",,,28,"1,2","0,4","NA","6,0","1,9",10,11,"0,08",22,"0,4","Tr",221,"0,04","0,2","201,4"
,,"TACO",,"Pimentão, verde, cru","100","g",,,21,"1,1","0,2","NA","4,9","2,6",9,8,"0,14",17,"0,4","Tr",174,"0,07","0,1","100,2"
,,"TACO",,"Pimentão, vermelho, cru","100","g",,,23,"1,0","0,1","NA","5,5","1,6",6,11,"0,06",20,"0,3","Tr",211,"0,04","0,2","158,2"
,,"TACO",,"Polvilho, doce","100","g",,,351,"0,4","Tr","NA","86,8","0,2",27,4,"0,09",8,"0,5",2,38,"Tr","Tr","Tr"
,,"TACO",,"Quiabo, cru","100","g",,,30,"1,9","0,3","NA","6,4","4,6",112,50,"0,46",56,"0,4",1,249,"0,17","0,6","5,6"
,,"TACO",,"Rabanete, cru","100","g",,,14,"1,4","0,1","NA","2,7","2,2",21,10,"0,07",25,"0,4",11,328,"0,02","0,2","9,6"
,,"TACO",,"Repolho, branco, cru","100","g",,,17,"0,9","0,1","NA","3,9","1,9",35,9,"0,13",14,"0,2",4,150,"0,02","0,2","18,7"
,,"TACO",,"Repolho, roxo, cru","100","g",,,31,"1,9","0,1","NA","7,2","2,0",44,18,"0,25",58,"0,5",2,328,"0,90","0,3","43,2"
,,"TACO",,"Repolho, roxo, refogado","100","g",,,42,"1,8","1,2","NA","7,6","1,8",43,17,"0,26",59,"0,5",3,321,"0,02","0,3","40,5"
,,"TACO",,"Rúcula, crua","100","g",,,13,"1,8","0,1","NA","2,2","1,7",117,18,"0,24",25,"0,9",9,233,"0,04","0,2","46,3"
,,"TACO",,"Salsa, crua","100","g",,,33,"3,3","0,6","NA","5,7","1,9",179,21,"1,88",49,"3,2",2,711,"0,20","1,3","51,7"
,,"TACO",,"Seleta de legumes, enlatada","100","g",,,57,"3,4","0,4","NA","12,7","3,1",16,16,"0,13",49,"1,1",398,122,"0,08","0,5","Tr"
,,"TACO",,"Serralha, crua","100","g",,,30,"2,7","0,7","NA","4,9","3,5",126,30,"0,23",48,"1,3",19,265,"0,20","1,3","1,5"
,,"TACO",,"Taioba, crua","100","g",,,34,"2,9","0,9","NA","5,4","4,5",141,38,"0,66",53,"1,9",1,290,"0,16","0,6","17,9"
,,"TACO",,"Tomate, com semente, cru","100","g",,,15,"1,1","0,2","NA","3,1","1,2",7,11,"0,07",20,"0,2",1,222,"0,04","0,1","21,2"
